Product_Name,Price,Ratings
Apple iPhone SE (Black| 64 GB),Rs.37900,4.5
Apple iPhone SE (White| 64 GB),Rs.37900,4.5
Apple iPhone SE (Red| 64 GB),Rs.37900,4.5
Apple iPhone XR (Black| 64 GB),Rs.47500,4.6
Apple iPhone XR (White| 64 GB),Rs.47500,4.6
Apple iPhone XR (White| 128 GB),Rs.53500,4.6
Apple iPhone XR (Black| 128 GB),Rs.53500,4.6
Apple iPhone SE (Black| 128 GB),Rs.43900,4.5
Apple iPhone SE (White| 128 GB),Rs.43900,4.5
Apple iPhone SE (Red| 128 GB),Rs.43900,4.5
Apple iPhone XR ((PRODUCT)RED| 64 GB),Rs.47500,4.6
Apple iPhone XR (Blue| 64 GB),Rs.47500,4.6
Apple iPhone XR ((PRODUCT)RED| 128 GB),Rs.53500,4.6
Apple iPhone XR (Blue| 128 GB),Rs.53500,4.6
Apple iPhone XR (Coral| 64 GB),Rs.47500,4.6
Apple iPhone 7 (Black| 32 GB),Rs.29799,4.5
Apple iPhone 11 (White| 64 GB),Rs.66990,4.7
Apple iPhone 11 (Green| 128 GB),Rs.72990,4.7
Apple iPhone 11 (Green| 64 GB),Rs.66990,4.7
Apple iPhone 11 (Black| 64 GB),Rs.66990,4.7
Apple iPhone SE (Black| 256 GB),Rs.53900,4.5
Apple iPhone 11 (Black| 128 GB),Rs.72990,4.7
Apple iPhone 11 (Purple| 64 GB),Rs.66990,4.7
Apple iPhone 11 (Purple| 128 GB),Rs.72990,4.7
